Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Argentina,Latin America and the Caribbean,63.10585,15.86571,18.98,43.7,113.5155,173.3,0.34
Australia,East Asia and Pacific,165.0609,7.08362,21.08,37.9,112.2389,212.9982,0.16
Austria,Europe and Central Asia,17.48986,14.76347,16.367,83.6,76.88444,209.2823,0.15
Belarus,Europe and Central Asia,69.55221,13.41905,13.982,115.9,98.18464,121.5822,0.42
Belgium,Europe and Central Asia,40.13702,19.33341,18.946,93.9,64.54818,184.0729,0.19
Bhutan,South Asia,109.8058,5.190215,13.064,16.9,15.72094,67.44273,0.42
Bosnia And Herzegovina,Europe and Central Asia,68.36832,6.00333,13.277,117.6,49.35848,187.1122,0.35
Brazil,Latin America and the Caribbean,56.25517,13.05356,15.579,47.4,101.142,151.063,0.49
Bulgaria,Europe and Central Asia,74.94107,5.13674,13.868,155.8,60.43866,167.4557,0.33
Cambodia,East Asia and Pacific,123.3987,1.09175,11.561,15.3,12.09698,8.119893,0.68
Chile,Latin America and the Caribbean,119.1085,9.785307,16.768,50.0,92.35886,92.028,0.29
China,East Asia and Pacific,208.4677,21.72,17.85,97.7,70.57,32.32,0.56
Croatia,Europe and Central Asia,35.79841,8.654839,15.573,194.2,97.14256,179.7916,0.29
Cyprus,Europe and Central Asia,234.6739,7.012381,16.243,61.1,71.7594,168.1186,0.52
Egypt,Middle East and North Africa,14.74742,4.03087,12.912,26.7,31.88231,52.37174,0.47
Estonia,Europe and Central Asia,23.34837,12.71949,15.943,111.5,67.69321,318.606,0.13
Ethiopia,Sub-Saharan Africa,22.08885,0.324725,9.939,9.7,6.474814,30.88821,0.54
Finland,Europe and Central Asia,7.416708,9.898994,19.229,91.7,71.25287,256.1402,0.1
France,Europe and Central Asia,22.00374,13.37827,15.988,66.6,82.49285,251.0864,0.15
Georgia,Middle East and North Africa,82.61754,10.923,16.727,36.1,39.69576,179.8298,0.21
Germany,Europe and Central Asia,36.39595,15.57616,17.343,88.3,70.71238,208.4488,0.15
