Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Afghanistan,Middle East and North Africa,67.54881,0.699351,10.705,20.7,6.861747,37.9778,Empty
Albania,Europe and Central Asia,98.16476,15.18858,14.487,168.8,53.48672,299.4392,Empty
Algeria,Middle East and North Africa,32.77327,6.200712,15.488,29.7,17.83198,150.1204,Empty
American Samoa,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Andorra,Europe and Central Asia,Empty,Empty,12.784,114.7,Empty,Empty,Empty
Angola,Sub-Saharan Africa,21.04996,1.787687,12.168,10.6,23.2699,9.837275,Empty
Anguilla,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Antarctica,,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Antigua And Barbuda,Latin America and the Caribbean,416.2051,10.50182,15.512,7.8,93.81958,96.43494,Empty
Argentina,Latin America and the Caribbean,63.10585,15.86571,18.98,43.7,113.5155,173.3,0.34
Armenia,Europe and Central Asia,83.97434,13.96565,14.406,37.2,57.41648,232.6482,Empty
Aruba,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Australia,East Asia and Pacific,165.0609,7.08362,21.08,37.9,112.2389,212.9982,0.16
Austria,Europe and Central Asia,17.48986,14.76347,16.367,83.6,76.88444,209.2823,0.15
Azerbaijan,Europe and Central Asia,94.63444,9.950293,12.711,33.5,40.7469,157.4239,Empty
Bahamas,Latin America and the Caribbean,49.14106,13.22104,11.891,6.7,111.461,110.5431,Empty
Bahrain,Middle East and North Africa,87.99928,12.78815,16.3,29.4,84.57268,226.116,Empty
Bangladesh,South Asia,93.60142,3.618075,11.946,16.2,4.396264,71.25991,Empty
Barbados,Latin America and the Caribbean,65.5506,9.825788,16.531,7.4,88.68147,101.45,Empty
Belarus,Europe and Central Asia,69.55221,13.41905,13.982,115.9,98.18464,121.5822,0.42
Belgium,Europe and Central Asia,40.13702,19.33341,18.946,93.9,64.54818,184.0729,0.19
Belize,Latin America and the Caribbean,53.91637,4.558446,12.427,6.5,52.27622,132.6377,Empty
Benin,Sub-Saharan Africa,20.84255,0.921924,10.303,11.2,17.28365,10.58757,Empty
Bermuda,Latin America and the Caribbean,Empty,Empty,Empty,8.4,Empty,Empty,Empty
